date,cases
10/31/2016,13
11/1/2016,12
11/2/2016,12
11/3/2016,14
11/4/2016,18
11/5/2016,9
11/6/2016,10
11/7/2016,13
11/8/2016,15
11/9/2016,17
11/10/2016,11
11/11/2016,13
11/12/2016,7
11/13/2016,11
11/14/2016,13
11/15/2016,9
11/16/2016,11
11/17/2016,16
11/18/2016,6
11/19/2016,6
11/20/2016,10
11/21/2016,9
11/22/2016,16
11/23/2016,11
11/24/2016,6
11/25/2016,15
11/26/2016,8
11/27/2016,12
11/28/2016,11
11/29/2016,17
11/30/2016,22
12/1/2016,12
12/2/2016,7
12/3/2016,6
12/4/2016,6
12/5/2016,13
12/6/2016,8
12/7/2016,6
12/8/2016,15
12/9/2016,11
12/10/2016,1
12/11/2016,11
12/12/2016,10
12/13/2016,11
12/14/2016,14
12/15/2016,15
12/16/2016,9
12/17/2016,11
12/18/2016,7
12/19/2016,15
12/20/2016,11
12/21/2016,12
12/22/2016,11
12/23/2016,11
12/24/2016,5
12/25/2016,6
12/26/2016,4
12/27/2016,16
12/28/2016,10
12/29/2016,7
12/30/2016,14
12/31/2016,7
1/1/2017,5
1/2/2017,7
1/3/2017,13
1/4/2017,12
1/5/2017,6
1/6/2017,14
1/7/2017,13
1/8/2017,6
1/9/2017,15
1/10/2017,14
1/11/2017,19
1/12/2017,15
01/13/2017,13
01/14/2017,12
01/15/2017,8
01/16/2017,13
01/17/2017,8
01/18/2017,15
01/19/2017,14
01/20/2017,10
01/21/2017,11
01/22/2017,7
01/23/2017,14
01/24/2017,16
01/25/2017,10
01/26/2017,8
01/27/2017,7
01/28/2017,7
01/29/2017,3
01/30/2017,11
01/31/2017,10
2/1/2017,12
2/2/2017,14
2/3/2017,7
2/4/2017,6
2/5/2017,8
2/6/2017,12
2/7/2017,15
2/8/2017,13
2/9/2017,12
2/10/2017,9
2/11/2017,10
2/12/2017,4
02/13/2017,9
02/14/2017,8
02/15/2017,15
02/16/2017,5
02/17/2017,8
02/18/2017,6
02/19/2017,4
02/20/2017,8
02/21/2017,9
02/22/2017,7
02/23/2017,8
02/24/2017,7
02/25/2017,4
02/26/2017,1
02/27/2017,7
02/28/2017,6
3/1/2017,5
3/2/2017,7
3/3/2017,8
3/4/2017,7
3/5/2017,1
3/6/2017,8
3/7/2017,5
3/8/2017,2
3/9/2017,9
3/10/2017,5
3/11/2017,2
3/12/2017,4
03/13/2017,5
03/14/2017,12
03/15/2017,6
03/16/2017,4
03/17/2017,5
03/18/2017,0
03/19/2017,3
03/20/2017,7
03/21/2017,6
03/22/2017,5
03/23/2017,5
03/24/2017,4
03/25/2017,2
03/26/2017,6
03/27/2017,5
03/28/2017,7
03/29/2017,3
03/30/2017,9
03/31/2017,10
4/1/2017,12
4/2/2017,6
4/3/2017,7
4/4/2017,4
4/5/2017,5
4/6/2017,5
4/7/2017,7
4/8/2017,3
4/9/2017,3
4/10/2017,5
4/11/2017,8
4/12/2017,5
04/13/2017,4
04/14/2017,2
04/15/2017,5
04/16/2017,1
04/17/2017,9
04/18/2017,10
04/19/2017,8
04/20/2017,8
04/21/2017,7
04/22/2017,8
04/23/2017,5
04/24/2017,2
04/25/2017,7
04/26/2017,8
04/27/2017,5
04/28/2017,3
04/29/2017,8
04/30/2017,3
5/1/2017,4
5/2/2017,6
5/3/2017,7
5/4/2017,8
5/5/2017,9
5/6/2017,5
5/7/2017,8
5/8/2017,6
5/9/2017,9
5/10/2017,6
5/11/2017,8
5/12/2017,8
05/13/2017,5
05/14/2017,4
05/15/2017,6
05/16/2017,6
05/17/2017,14
05/18/2017,3
05/19/2017,14
05/20/2017,4
05/21/2017,4
05/22/2017,12
05/23/2017,6
05/24/2017,4
05/25/2017,15
05/26/2017,5
05/27/2017,5
05/28/2017,6
05/29/2017,11
05/30/2017,7
05/31/2017,16
6/1/2017,8
6/2/2017,12
6/3/2017,6
6/4/2017,6
6/5/2017,14
6/6/2017,5
6/7/2017,14
6/8/2017,8
6/9/2017,12
6/10/2017,4
6/11/2017,6
6/12/2017,13
06/13/2017,10
06/14/2017,8
06/15/2017,15
06/16/2017,8
06/17/2017,12
06/18/2017,3
06/19/2017,17
06/20/2017,11
06/21/2017,10
06/22/2017,16
06/23/2017,10
06/24/2017,7
06/25/2017,6
06/26/2017,10
06/27/2017,18
06/28/2017,10
06/29/2017,11
06/30/2017,10
7/1/2017,12
7/2/2017,6
7/3/2017,13
7/4/2017,11
7/5/2017,7
7/6/2017,10
7/7/2017,8
7/8/2017,8
7/9/2017,7
7/10/2017,10
7/11/2017,7
7/12/2017,8
07/13/2017,12
07/14/2017,6
07/15/2017,4
07/16/2017,4
07/17/2017,12
07/18/2017,5
07/19/2017,7
07/20/2017,11
07/21/2017,2
07/22/2017,4
07/23/2017,7
07/24/2017,11
07/25/2017,16
07/26/2017,5
07/27/2017,14
07/28/2017,11
07/29/2017,5
07/30/2017,5
07/31/2017,12
